k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       51.716275,      2377119.117834,           51.716275,            0.000000,1,1

2,       54.454622,      2355448.986937,           54.454622,            0.000000,1,1

3,       57.192969,      2345115.306862,           57.192969,            0.000000,1,1

4,       59.931316,      2337967.039443,           59.931316,            0.000000,1,1

5,       62.669664,      2335522.418822,           62.669664,            0.000000,1,1

