k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       16.353668,      2565251.881253,           16.353668,            0.000000,1,1

2,       17.474222,      2447479.549383,           17.474222,            0.000000,1,1

3,       18.594777,      2392979.593918,           18.594777,            0.000000,1,1

4,       19.715331,      2368174.705020,           19.715331,            0.000000,1,1

5,       20.835886,      2356424.009433,           20.835886,            0.000000,1,1

6,       21.956440,      2349123.984849,           21.956440,            0.000000,1,1

7,       23.076995,      2344021.565069,           23.076995,            0.000000,1,1

8,       24.197549,      2340633.070150,           24.197549,            0.000000,1,1

9,       25.318104,      2338786.977646,           25.318104,            0.000000,1,1

10,       26.438658,      2338279.556733,           26.438658,            0.000000,1,1

