k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       83.573237,      2490579.622869,           83.573237,            0.000000,1,1

2,       90.374451,      2366143.099408,           90.374451,            0.000000,1,1

3,       97.175664,      2341624.875452,           97.175664,            0.000000,1,1

4,      103.976878,      2336693.602763,          103.976878,            0.000000,1,1

5,      110.778091,      2335522.418822,          110.778091,            0.000000,1,1

