k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       63.932056,      2377693.479521,           63.932056,            0.000000,1,1

2,       66.572946,      2354902.305766,           66.572946,            0.000000,1,1

3,       69.213837,      2344732.492520,           69.213837,            0.000000,1,1

4,       71.854728,      2337849.568220,           71.854728,            0.000000,1,1

5,       74.495619,      2335522.418822,           74.495619,            0.000000,1,1

