k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       52.726063,      2378520.157767,           52.726063,            0.000000,1,1

2,       55.572260,      2355682.869422,           55.572260,            0.000000,1,1

3,       58.418458,      2345175.830779,           58.418458,            0.000000,1,1

4,       61.264655,      2338023.722246,           61.264655,            0.000000,1,1

5,       64.110853,      2335522.418822,           64.110853,            0.000000,1,1

