k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       56.664680,      2378225.940971,           56.664680,            0.000000,1,1

2,       59.288318,      2355490.557247,           59.288318,            0.000000,1,1

3,       61.911957,      2345192.940441,           61.911957,            0.000000,1,1

4,       64.535595,      2338040.473039,           64.535595,            0.000000,1,1

5,       67.159233,      2335522.418822,           67.159233,            0.000000,1,1

