k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       40.978588,      2377364.287254,           40.978588,            0.000000,1,1

2,       43.570239,      2355728.201448,           43.570239,            0.000000,1,1

3,       46.161891,      2345567.057481,           46.161891,            0.000000,1,1

4,       48.753543,      2338536.977124,           48.753543,            0.000000,1,1

5,       51.345195,      2335522.418822,           51.345195,            0.000000,1,1

