k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       58.463227,      2376598.295235,           58.463227,            0.000000,1,1

2,       60.605845,      2354091.511879,           60.605845,            0.000000,1,1

3,       62.748463,      2345505.630370,           62.748463,            0.000000,1,1

4,       64.891081,      2339603.450230,           64.891081,            0.000000,1,1

5,       67.033698,      2337057.161124,           67.033698,            0.000000,1,1

