k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       15.417325,      2465491.762885,           15.417325,            0.000000,1,1

2,       16.138611,      2387656.953763,           16.138611,            0.000000,1,1

3,       16.859897,      2362015.147402,           16.859897,            0.000000,1,1

4,       17.581183,      2349970.843633,           17.581183,            0.000000,1,1

5,       18.302469,      2344899.680616,           18.302469,            0.000000,1,1

6,       19.023755,      2341657.521400,           19.023755,            0.000000,1,1

7,       19.745041,      2339699.459156,           19.745041,            0.000000,1,1

8,       20.466327,      2338696.710273,           20.466327,            0.000000,1,1

9,       21.187613,      2338347.689415,           21.187613,            0.000000,1,1

10,       21.908899,      2338279.560322,           21.908898,            0.000001,1,1

