k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       54.550279,      2371150.698127,           54.550279,            0.000000,1,1

2,       55.882345,      2354638.944516,           55.882345,            0.000000,1,1

3,       57.214410,      2345614.904892,           57.214410,            0.000000,1,1

4,       58.546475,      2340351.194801,           58.546475,            0.000000,1,1

5,       59.878541,      2336926.752916,           59.878541,            0.000000,1,1

