k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       35.743959,      2411361.908201,           35.743959,            0.000000,1,1

2,       36.978557,      2371362.417318,           36.978557,            0.000000,1,1

3,       38.213154,      2360550.469080,           38.213154,            0.000000,1,1

4,       39.447752,      2353988.145319,           39.447752,            0.000000,1,1

5,       40.682350,      2349070.747281,           40.682350,            0.000000,1,1

6,       41.916948,      2344796.592364,           41.916948,            0.000000,1,1

7,       43.151546,      2341178.793716,           43.151546,            0.000000,1,1

8,       44.386143,      2338301.325646,           44.386143,            0.000000,1,1

9,       45.620741,      2336322.720301,           45.620741,            0.000000,1,1

10,       46.855339,      2335522.418822,           46.855339,            0.000000,1,1

