k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       14.957481,      2538647.134922,           14.957481,            0.000000,1,1

2,       15.817218,      2426426.251710,           15.817218,            0.000000,1,1

3,       16.676956,      2388131.755303,           16.676956,            0.000000,1,1

4,       17.536693,      2369068.628472,           17.536693,            0.000000,1,1

5,       18.396431,      2358066.712218,           18.396431,            0.000000,1,1

6,       19.256168,      2351075.026583,           19.256168,            0.000000,1,1

7,       20.115905,      2346000.657906,           20.115905,            0.000000,1,1

8,       20.975643,      2342369.108230,           20.975643,            0.000000,1,1

9,       21.835380,      2340382.029551,           21.835380,            0.000000,1,1

10,       22.695117,      2339718.967151,           22.695117,            0.000000,1,1

