k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       52.191001,      2439455.769750,           52.191001,            0.000000,1,1

2,       55.933059,      2376476.357778,           55.933059,            0.000000,1,1

3,       59.675117,      2353472.588497,           59.675117,            0.000000,1,1

4,       63.417175,      2340632.391134,           63.417175,            0.000000,1,1

5,       67.159233,      2335522.418822,           67.159233,            0.000000,1,1

